Personal Assets Trust	PNL	Investment Trusts
Pets at Home	PETS	Retailers
Playtech	PTEC	Software & Computer Services
Plus500	PLUS	Financial Services
Polar Capital Global Healthcare Trust	PCGH	Investment Trusts
Pollen Street Group	POLN	Financial Services
PPHE Hotel Group	PPH	Travel and Leisure
Premier Foods	PFD	Food & Drug Retailers
Primary Health Properties	PHP	Real Estate Investment Trusts
Princes Group	PRN	Food and drink
Qinetiq	QQ	Aerospace & Defence
Quilter	QLT	Financial Services
Rank Group	RNK	Travel and Leisure
Raspberry Pi Holdings	RPI	Technology
Rathbones	RAT	Financial Services
Renishaw	RSW	Electronic & Electrical Equipment
RHI Magnesita	RHIM	Support Services
RIT Capital Partners	RCP	Investment Trusts
Rotork	ROR	Industrial Engineering
RS Group	RS1	Industrials
RTW Biotech Opportunities	RTW	Investment Trusts
Ruffer Investment Company	RICA	Investment Trusts
Safestore	SAFE	Real Estate Investment Trusts
Saga	SAGA	Travel and Leisure
Savills	SVS	Real Estate Investment & Services
Schiehallion Fund	MNTN	Investment Trusts
Schroder Asian Total Return Investment Company	ATR	Investment Trusts
Schroder AsiaPacific Fund	SDP	Investment Trusts
Schroder Oriental Income Fund	SOI	Financial Services
Scottish American Investment Company	SAIN	Investment Trusts
SDCL Energy Efficiency Income Trust	SEIT	Energy
Senior	SNR	Aerospace & Defence
Sequoia Economic Infrastructure Income Fund	SEQI	Financial Services
Serco	SRP	Support Services
Shaftesbury Capital	SHC	Real Estate Investment Trusts
Shawbrook Bank	SHAW	Banking
Sirius Real Estate	SRE	Real Estate
Softcat	SCT	Software & Computer Services
Spire Healthcare	SPI	Health Care Equipment & Services
SSP Group	SSPG	Retailers
Supermarket Income REIT	SUPR	Real Estate Investment Trusts
Syncona	SYNC	Pharmaceuticals & Biotechnology
Target Healthcare REIT	THRL	Real Estate Investment Trusts
Tate & Lyle	TATE	Food Producers
Taylor Wimpey	TW	Household goods & home construction
TBC Bank	TBCG	Banks
Telecom Plus	TEP	Telecomms
Temple Bar Investment Trust	TMPL	Collective Investments
Templeton Emerging Markets Investment Trust	TEM	Investment Trusts
The Renewables Infrastructure Group	TRIG	Investment Trusts
THG	THG	Personal Products
TP ICAP	TCAP	Support Services
Trainline	TRN	Industrial Transportation
Travis Perkins	TPK	Support Services
TR Property Investment Trust	TRY	Investment Trusts
Trustpilot	TRST	Technology
Twentyfour Income Fund	TFIF	Investment Trusts
Unite Group	UTG	Real estate investment trusts
Utilico Emerging Markets	UEM	Investment Trusts
Vesuvius	VSVS	General Industrials
Victrex	VCT	Chemicals
Vietnam Enterprise Investments	VEIL	General Financial
VinaCapital Vietnam Opportunity Fund	VOF	General Financial
Vistry Group	VTY	Home Construction
Volution Group	FAN	Construction & Materials
Watches of Switzerland	WOSG	Personal Goods
Wetherspoons	JDW	Travel & Leisure
WHSmith	SMWH	Retailers
Wickes	WIX	Retailers
Wizz Air	WIZZ	Travel & Leisure
Workspace Group	WKP	Real Estate Investment Trusts
Worldwide Healthcare Trust	WWH	Investment Trusts
WPP	WPP	Media
XPS Pensions	XPS	Financial Services
Zigup	ZIG	Support Services
